2201
idno,freehms,gincdif,lrscale,impcntr,euftf,group,cluster_exclusion
1929,0.5,0.5,0,0.33333333333333337,1,3,FALSE
2012,-1,-1,-0.6,1,1,2,FALSE
2043,0.5,0.5,-0.4,0.33333333333333337,0.19999999999999996,2,FALSE
2046,0.5,0.5,-0.4,0.33333333333333337,0.6000000000000001,3,FALSE
2097,0.5,0.5,0,0.33333333333333337,0.6000000000000001,3,FALSE
2105,0.5,1,-0.6,0.33333333333333337,0.3999999999999999,6,FALSE
2129,1,0.5,-0.19999999999999996,1,0.6000000000000001,1,FALSE
2154,0.5,0.5,-0.4,0.33333333333333337,0.8,3,FALSE
2204,1,1,0.19999999999999996,0.33333333333333337,0.3999999999999999,6,FALSE
2261,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,3,FALSE
2328,0.5,1,0,0.33333333333333337,1,3,FALSE
2339,1,-0,0.19999999999999996,-0.33333333333333326,0.3999999999999999,4,FALSE
2402,1,1,0,1,0,2,FALSE
2434,1,0.5,-1,1,0.19999999999999996,2,FALSE
2461,0.5,-0,0,-0.33333333333333326,0,6,FALSE
2567,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,3,FALSE
2573,0.5,0.5,0,0.33333333333333337,0.3999999999999999,6,FALSE
2602,1,0.5,0,0.33333333333333337,1,3,FALSE
2604,0.5,1,0,0.33333333333333337,0,2,FALSE
2612,0.5,0.5,0,-0.33333333333333326,0,6,FALSE
2613,0.5,0.5,0.3999999999999999,-0.33333333333333326,0,1,FALSE
2626,0.5,0.5,-0.4,0.33333333333333337,-0.6,2,FALSE
2662,1,0.5,-0.19999999999999996,0.33333333333333337,1,3,FALSE
2750,1,-0,-0.4,-0.33333333333333326,0,6,FALSE
2775,1,0.5,-0.4,0.33333333333333337,0.19999999999999996,2,FALSE
2819,-0.5,-1,0,1,0.3999999999999999,2,FALSE
2826,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,6,FALSE
2827,0.5,0.5,0,0.33333333333333337,0.19999999999999996,2,FALSE
2830,-0,1,-0.19999999999999996,0.33333333333333337,0,4,FALSE
2844,1,-0,0,0.33333333333333337,-0.8,4,FALSE
2881,1,0.5,-0.4,-0.33333333333333326,0,6,FALSE
3005,1,0.5,-0.6,1,0.8,1,FALSE
3022,-0,1,0.3999999999999999,-0.33333333333333326,-0.6,4,FALSE
3073,1,1,-1,1,1,5,FALSE
3082,0.5,-0.5,0.3999999999999999,-0.33333333333333326,-0.19999999999999996,4,FALSE
3093,1,-0.5,0.3999999999999999,-0.33333333333333326,-0.8,3,FALSE
3128,1,-0.5,0.3999999999999999,-0.33333333333333326,0.8,4,FALSE
3204,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,6,FALSE
3250,1,0.5,0,-0.33333333333333326,-0.19999999999999996,2,FALSE
3300,1,1,-0.19999999999999996,1,0.3999999999999999,2,FALSE
3354,0.5,1,-0.19999999999999996,0.33333333333333337,-0.19999999999999996,2,FALSE
3361,1,1,0.8,-0.33333333333333326,0,2,FALSE
3396,1,1,-0.19999999999999996,0.33333333333333337,1,6,FALSE
3410,1,0.5,0,0.33333333333333337,0.3999999999999999,6,FALSE
3421,1,0.5,-0.4,0.33333333333333337,0,2,FALSE
3430,1,0.5,-0.4,0.33333333333333337,0.8,3,FALSE
3436,-0,1,-0.6,-0.33333333333333326,-0.6,2,FALSE
3455,1,0.5,0,0.33333333333333337,-0.19999999999999996,2,FALSE
3459,1,0.5,0.3999999999999999,-0.33333333333333326,-0.4,4,FALSE
3527,0.5,1,0,-0.33333333333333326,-0.19999999999999996,1,FALSE
3564,1,1,-0.6,1,1,5,FALSE
3576,0.5,0.5,-0.4,0.33333333333333337,1,3,FALSE
3597,1,0.5,0.6000000000000001,-0.33333333333333326,-0.4,4,FALSE
3663,0.5,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,2,FALSE
3668,1,-0.5,-0.19999999999999996,1,1,1,FALSE
3711,0.5,0.5,-0.8,-0.33333333333333326,0.6000000000000001,6,FALSE
3759,1,0.5,0.19999999999999996,-0.33333333333333326,-0.6,4,FALSE
3826,1,0.5,0,0.33333333333333337,0.8,3,FALSE
3835,0.5,1,-0.19999999999999996,0.33333333333333337,0,2,FALSE
3844,0.5,0.5,-0.19999999999999996,-0.33333333333333326,-0.6,4,FALSE
3846,0.5,1,-0.19999999999999996,-1,-0.19999999999999996,6,FALSE
3879,0.5,1,-0.8,1,1,1,FALSE
3970,1,-0.5,0,1,0.6000000000000001,1,FALSE
4000,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.19999999999999996,2,FALSE
4015,1,1,0,-0.33333333333333326,0.19999999999999996,6,FALSE
4074,1,-0.5,-0.4,0.33333333333333337,1,4,FALSE
4177,1,0.5,0,0.33333333333333337,0,2,FALSE
4179,0.5,1,0,-0.33333333333333326,0.6000000000000001,4,FALSE
4185,-0,0.5,0,1,0.6000000000000001,1,FALSE
4202,1,0.5,-0.4,0.33333333333333337,1,6,FALSE
4203,1,0.5,0,0.33333333333333337,1,3,FALSE
4207,0.5,-1,0.6000000000000001,0.33333333333333337,1,2,FALSE
4506,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,6,FALSE
4524,0.5,1,0,0.33333333333333337,0,2,FALSE
4559,1,0.5,0,0.33333333333333337,1,3,FALSE
4568,0.5,0.5,-0.19999999999999996,0.33333333333333337,0.6000000000000001,3,FALSE
4591,1,-1,0.3999999999999999,0.33333333333333337,-1,4,FALSE
4662,1,1,-0.19999999999999996,0.33333333333333337,1,6,FALSE
4677,1,0.5,0.3999999999999999,-0.33333333333333326,0.19999999999999996,2,FALSE
4679,0.5,0.5,0.3999999999999999,-1,-1,2,FALSE
4685,1,1,-0.6,0.33333333333333337,1,6,FALSE
4705,1,1,-0.4,0.33333333333333337,0.6000000000000001,6,FALSE
4736,0.5,1,-0.4,0.33333333333333337,1,3,FALSE
4825,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,6,FALSE
4851,0.5,1,0.19999999999999996,-0.33333333333333326,0.19999999999999996,1,FALSE
4877,0.5,0.5,0,0.33333333333333337,0.3999999999999999,6,FALSE
4880,1,1,-0.19999999999999996,0.33333333333333337,1,6,FALSE
4943,0.5,0.5,0,0.33333333333333337,0,2,FALSE
4964,1,1,-1,1,0.8,5,FALSE
4988,1,0.5,-0.6,0.33333333333333337,0,2,FALSE
5001,0.5,-0.5,0,-0.33333333333333326,-0.8,3,FALSE
5058,1,0.5,-0.19999999999999996,1,1,1,FALSE
5069,1,0.5,0,0.33333333333333337,0.19999999999999996,2,FALSE
5088,1,1,-0.4,0.33333333333333337,-0.19999999999999996,2,FALSE
5201,0.5,0.5,-0.19999999999999996,-0.33333333333333326,0,6,FALSE
5207,0.5,-0,0.3999999999999999,0.33333333333333337,0.3999999999999999,4,FALSE
5225,-0.5,-0,-1,-1,0.3999999999999999,3,FALSE
5278,0.5,0.5,0.3999999999999999,-0.33333333333333326,0.3999999999999999,6,FALSE
5293,1,0.5,-0.19999999999999996,0.33333333333333337,0,2,FALSE
5363,1,0.5,-1,0.33333333333333337,0.19999999999999996,2,FALSE
5384,1,0.5,0,1,0.3999999999999999,2,FALSE
5424,-0,1,0,-0.33333333333333326,-0.4,4,FALSE
5455,1,1,-0.19999999999999996,0.33333333333333337,-1,2,FALSE
5508,1,-0.5,0.19999999999999996,-0.33333333333333326,1,4,FALSE
5534,0.5,0.5,0,0.33333333333333337,0.19999999999999996,2,FALSE
5573,1,1,1,-0.33333333333333326,0.3999999999999999,1,FALSE
5585,1,0.5,-0.6,1,0.6000000000000001,1,FALSE
5642,1,0.5,0,0.33333333333333337,-0.4,2,FALSE
5649,0.5,1,1,-0.33333333333333326,0.3999999999999999,1,FALSE
5651,1,0.5,0,1,0.6000000000000001,1,FALSE
5682,0.5,-1,0.19999999999999996,-0.33333333333333326,-0.19999999999999996,4,FALSE
5692,1,0.5,0,-0.33333333333333326,0.6000000000000001,3,FALSE
5772,-0,0.5,0,-0.33333333333333326,0.3999999999999999,4,FALSE
5892,0.5,1,0.6000000000000001,0.33333333333333337,0.6000000000000001,1,FALSE
5893,0.5,1,0,0.33333333333333337,-0.8,2,FALSE
5907,0.5,0.5,-0.6,0.33333333333333337,0.19999999999999996,2,FALSE
5913,0.5,-0.5,0.19999999999999996,0.33333333333333337,0.19999999999999996,4,FALSE
5952,1,0.5,-0.4,0.33333333333333337,0.19999999999999996,2,FALSE
5990,0.5,-0.5,0,1,1,1,FALSE
6032,0.5,0.5,0,0.33333333333333337,-0.19999999999999996,2,FALSE
6051,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,3,FALSE
6070,0.5,0.5,0,-0.33333333333333326,-0.4,4,FALSE
6224,1,-0.5,0,1,0.19999999999999996,1,FALSE
6323,0.5,-0,-0.4,0.33333333333333337,0.3999999999999999,1,FALSE
6339,-0.5,1,0,-0.33333333333333326,-0.4,4,FALSE
6367,1,-0,-0.19999999999999996,1,0.8,1,FALSE
6495,1,-0,0,-0.33333333333333326,1,3,FALSE
6554,1,0.5,-1,0.33333333333333337,0,2,FALSE
6559,1,1,-0.8,1,1,5,FALSE
6578,0.5,1,0,0.33333333333333337,0.3999999999999999,6,FALSE
6603,0.5,-0.5,0.19999999999999996,-0.33333333333333326,0,4,FALSE
6605,0.5,0.5,0,0.33333333333333337,1,3,FALSE
6619,0.5,1,0.8,0.33333333333333337,1,4,FALSE
6637,-0,0.5,0,0.33333333333333337,0.3999999999999999,4,FALSE
6638,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,3,FALSE
6654,1,0.5,-0.19999999999999996,-0.33333333333333326,0.3999999999999999,6,FALSE
6703,0.5,0.5,-0.4,-0.33333333333333326,0,6,FALSE
6723,1,0.5,-0.19999999999999996,1,1,1,FALSE
6749,0.5,-0.5,-0.19999999999999996,-0.33333333333333326,1,4,FALSE
6762,1,-0,-0.4,-0.33333333333333326,0,6,FALSE
6801,1,0.5,-0.4,0.33333333333333337,0.3999999999999999,6,FALSE
6821,0.5,0.5,1,-1,-1,1,FALSE
6823,0.5,-0,0,-0.33333333333333326,0.3999999999999999,4,FALSE
6844,1,0.5,-0.4,1,0.6000000000000001,1,FALSE
6916,1,-0,-0.19999999999999996,-0.33333333333333326,0,6,FALSE
6988,0.5,-0.5,0,-0.33333333333333326,0.3999999999999999,4,FALSE
7087,1,0.5,-0.6,0.33333333333333337,0.6000000000000001,6,FALSE
7091,0.5,0.5,0,1,0.8,1,FALSE
7110,1,1,-1,0.33333333333333337,-1,2,FALSE
7129,0.5,0.5,-0.4,-0.33333333333333326,0.19999999999999996,6,FALSE
7155,0.5,-0,0,-0.33333333333333326,-0.4,2,FALSE
7157,-0,0.5,0,-0.33333333333333326,0.19999999999999996,4,FALSE
7184,0.5,0.5,0,-0.33333333333333326,0,6,FALSE
7197,1,-0,-0.19999999999999996,0.33333333333333337,0,1,FALSE
7238,0.5,0.5,0,-0.33333333333333326,0,6,FALSE
7239,1,1,-0.4,1,0.19999999999999996,2,FALSE
7244,0.5,1,0.19999999999999996,0.33333333333333337,0.3999999999999999,6,FALSE
7288,0.5,0.5,0.3999999999999999,0.33333333333333337,0,2,FALSE
7297,0.5,1,-0.4,0.33333333333333337,0,2,FALSE
7330,0.5,0.5,-0.4,-0.33333333333333326,-1,2,FALSE
7514,1,-0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,4,FALSE
7533,1,0.5,-0.4,1,0.19999999999999996,2,FALSE
7541,0.5,-0.5,0,-0.33333333333333326,0.19999999999999996,4,FALSE
7554,1,1,0,-0.33333333333333326,-0.4,4,FALSE
7600,0.5,-0.5,0,-0.33333333333333326,-0.8,3,FALSE
7609,1,0.5,-0.6,1,0.6000000000000001,1,FALSE
7613,1,0.5,0,0.33333333333333337,-0.6,2,FALSE
7641,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,3,FALSE
7689,0.5,0.5,0,-0.33333333333333326,0.8,3,FALSE
7707,1,0.5,-0.19999999999999996,1,0.6000000000000001,1,FALSE
7722,-0,-1,0,-1,-0.19999999999999996,4,FALSE
7730,1,0.5,-0.6,1,-0.6,2,FALSE
7741,1,0.5,0,-0.33333333333333326,0.6000000000000001,3,FALSE
7774,0.5,0.5,0.3999999999999999,-0.33333333333333326,1,3,FALSE
7782,1,-0,0,-0.33333333333333326,0,4,FALSE
7783,0.5,-0,-0.4,0.33333333333333337,0.19999999999999996,1,FALSE
7812,0.5,0.5,0,0.33333333333333337,0.6000000000000001,3,FALSE
7836,1,0.5,-0.6,1,-0.6,2,FALSE
7856,1,0.5,-1,1,1,1,FALSE
7873,1,0.5,0,0.33333333333333337,0.8,3,FALSE
7904,-0,-0,-0.4,0.33333333333333337,0.19999999999999996,1,FALSE
7916,0.5,0.5,0,-0.33333333333333326,-0.6,4,FALSE
8007,0.5,-0.5,0,0.33333333333333337,-0.19999999999999996,4,FALSE
8077,1,0.5,-0.6,0.33333333333333337,1,6,FALSE
8084,1,1,0,-0.33333333333333326,0.3999999999999999,6,FALSE
8088,0.5,-0,0.3999999999999999,-0.33333333333333326,1,4,FALSE
8142,0.5,0.5,-0.4,0.33333333333333337,0.3999999999999999,5,FALSE
8174,0.5,0.5,0.6000000000000001,-0.33333333333333326,0.8,2,FALSE
8190,1,-0.5,0.6000000000000001,0.33333333333333337,0.6000000000000001,4,FALSE
8225,0.5,1,0,-0.33333333333333326,-0.6,4,FALSE
8244,1,1,0,-0.33333333333333326,0,6,FALSE
8246,1,-0,0,-0.33333333333333326,0.3999999999999999,4,FALSE
8275,1,1,-0.19999999999999996,0.33333333333333337,0.6000000000000001,6,FALSE
8291,-1,0.5,-1,0.33333333333333337,0.3999999999999999,3,FALSE
8304,-0,0.5,0,0.33333333333333337,0,4,FALSE
8320,0.5,0.5,0,0.33333333333333337,-0.6,2,FALSE
8327,1,1,-0.19999999999999996,0.33333333333333337,0.8,6,FALSE
8334,1,0.5,0.3999999999999999,1,1,1,FALSE
8344,1,-0.5,-0.8,1,0.3999999999999999,1,FALSE
8372,1,-0,-0.19999999999999996,1,1,1,FALSE
8489,0.5,0.5,0,0.33333333333333337,0.3999999999999999,6,FALSE
8538,0.5,-0.5,0.19999999999999996,0.33333333333333337,0.6000000000000001,4,FALSE
8608,0.5,0.5,0.19999999999999996,1,0.6000000000000001,1,FALSE
8610,-0,0.5,-0.4,-0.33333333333333326,0.6000000000000001,3,FALSE
8639,1,1,0,-0.33333333333333326,-0.8,2,FALSE
8665,0.5,-0.5,0,0.33333333333333337,0.6000000000000001,4,FALSE
8745,0.5,0.5,-0.8,0.33333333333333337,0.3999999999999999,5,FALSE
8757,0.5,0.5,-0.6,0.33333333333333337,0.3999999999999999,5,FALSE
8798,1,0.5,0,0.33333333333333337,0.6000000000000001,3,FALSE
8812,1,0.5,0,0.33333333333333337,0.3999999999999999,6,FALSE
8849,0.5,0.5,-0.4,0.33333333333333337,0.6000000000000001,3,FALSE
8864,1,1,-1,1,0.19999999999999996,5,FALSE
8867,1,1,-0.19999999999999996,0.33333333333333337,0.6000000000000001,6,FALSE
8892,1,1,-0.4,0.33333333333333337,1,6,FALSE
8920,1,1,-0.4,1,1,5,FALSE
9003,0.5,-1,-0.19999999999999996,-0.33333333333333326,0.19999999999999996,4,FALSE
9040,1,0.5,-0.4,1,1,1,FALSE
9048,1,1,0,-0.33333333333333326,0.8,6,FALSE
9088,0.5,-0.5,0,0.33333333333333337,1,4,FALSE
9094,1,-0.5,-1,1,0.8,6,FALSE
9170,1,0.5,-1,1,0.6000000000000001,1,FALSE
9176,0.5,0.5,0,1,1,1,FALSE
9216,1,0.5,-0.4,0.33333333333333337,1,6,FALSE
9220,1,1,0,0.33333333333333337,0,2,FALSE
9286,1,0.5,-0.4,1,0.8,1,FALSE
9320,1,-0.5,-0.19999999999999996,1,1,1,FALSE
9332,0.5,0.5,-0.8,0.33333333333333337,0,2,FALSE
9357,0.5,1,-1,-0.33333333333333326,-0.8,2,FALSE
9363,1,1,0,-0.33333333333333326,0.19999999999999996,6,FALSE
9486,0.5,-0,-0.4,-0.33333333333333326,0,6,FALSE
9494,1,1,0.19999999999999996,0.33333333333333337,0.6000000000000001,6,FALSE
9500,1,-0,0.19999999999999996,-0.33333333333333326,0.6000000000000001,4,FALSE
9557,-0,-0.5,0,0.33333333333333337,0.6000000000000001,2,FALSE
9570,1,-0,-0.19999999999999996,0.33333333333333337,-0.19999999999999996,2,FALSE
9611,0.5,-0,-0.8,0.33333333333333337,0.3999999999999999,1,FALSE
9613,-0,1,0.19999999999999996,0.33333333333333337,-0.6,4,FALSE
9619,1,-0,0.3999999999999999,0.33333333333333337,0,4,FALSE
9620,1,-0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,4,FALSE
9632,1,1,-0.4,0.33333333333333337,0,2,FALSE
9635,1,1,-0.4,1,0,2,FALSE
9719,1,1,-1,0.33333333333333337,0.8,6,FALSE
9737,-1,-0,-0.4,-0.33333333333333326,-0.6,4,FALSE
9749,1,0.5,-0.6,0.33333333333333337,0.6000000000000001,6,FALSE
9750,0.5,-0,0.19999999999999996,0.33333333333333337,-0.4,4,FALSE
9771,1,1,0.19999999999999996,0.33333333333333337,1,6,FALSE
9795,0.5,0.5,0.8,0.33333333333333337,-0.4,1,FALSE
9805,-0.5,-0,0,-1,-0.6,1,FALSE
9848,1,1,0,-1,0,6,FALSE
9874,1,1,0.3999999999999999,0.33333333333333337,0.6000000000000001,6,FALSE
9898,0.5,-0.5,0,-0.33333333333333326,0.3999999999999999,4,FALSE
9931,0.5,0.5,0.6000000000000001,-1,-0.4,1,FALSE
9964,1,0.5,-0.4,0.33333333333333337,0,2,FALSE
10089,1,0.5,0,0.33333333333333337,0.19999999999999996,2,FALSE
10128,1,0.5,-0.6,-0.33333333333333326,0,6,FALSE
10217,1,0.5,0.19999999999999996,0.33333333333333337,0.19999999999999996,2,FALSE
10310,1,0.5,-1,0.33333333333333337,0.6000000000000001,3,FALSE
10324,1,-0.5,-0.4,0.33333333333333337,-0.8,3,FALSE
10364,0.5,0.5,0,0.33333333333333337,0.3999999999999999,6,FALSE
10391,0.5,-0.5,0,-0.33333333333333326,1,4,FALSE
10404,0.5,-0,0.19999999999999996,0.33333333333333337,-0.6,4,FALSE
10417,0.5,0.5,0,0.33333333333333337,0,2,FALSE
10458,1,0.5,-0.4,0.33333333333333337,0.6000000000000001,3,FALSE
10612,0.5,-0.5,0.19999999999999996,-0.33333333333333326,-1,3,FALSE
10642,0.5,0.5,-0.19999999999999996,1,0.6000000000000001,1,FALSE
10670,-0,1,-0.19999999999999996,-0.33333333333333326,0.3999999999999999,4,FALSE
10729,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,3,FALSE
10733,0.5,-0,0,0.33333333333333337,0.19999999999999996,1,FALSE
10768,1,1,0,1,0.6000000000000001,2,FALSE
10779,0.5,1,-0.6,0.33333333333333337,0.6000000000000001,3,FALSE
10818,1,1,0.19999999999999996,0.33333333333333337,-0.4,2,FALSE
10859,1,1,-0.4,1,0.8,5,FALSE
10869,1,0.5,-0.4,0.33333333333333337,-0.4,2,FALSE
10920,0.5,1,-0.6,1,1,1,FALSE
10923,1,1,0,0.33333333333333337,1,6,FALSE
11137,1,0.5,-0.19999999999999996,1,0.3999999999999999,2,FALSE
11151,0.5,0.5,0.6000000000000001,-1,-0.4,1,FALSE
11167,0.5,0.5,-0.4,0.33333333333333337,0.8,3,FALSE
11190,0.5,-0.5,0,0.33333333333333337,0.19999999999999996,4,FALSE
11224,0.5,0.5,0,-0.33333333333333326,0.6000000000000001,3,FALSE
11254,1,0.5,-0.4,1,0,2,FALSE
11262,1,0.5,0,0.33333333333333337,0.6000000000000001,3,FALSE
11271,1,-0.5,-0.6,1,0.6000000000000001,1,FALSE
11286,1,0.5,-0.4,0.33333333333333337,0.8,3,FALSE
11378,0.5,-0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,4,FALSE
11397,1,0.5,0,0.33333333333333337,-0.19999999999999996,2,FALSE
11457,0.5,0.5,0,1,-0.19999999999999996,4,FALSE
11465,1,1,0,0.33333333333333337,0,2,FALSE
11473,1,0.5,-0.19999999999999996,0.33333333333333337,1,3,FALSE
11478,1,1,-0.4,1,0.6000000000000001,5,FALSE
11529,-0.5,-0,0,-0.33333333333333326,0,4,FALSE
11615,0.5,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,2,FALSE
11629,0.5,0.5,0.19999999999999996,0.33333333333333337,0.3999999999999999,6,FALSE
11632,1,0.5,0.19999999999999996,0.33333333333333337,-0.19999999999999996,2,FALSE
11652,-0,0.5,0,0.33333333333333337,-1,4,FALSE
11737,1,-0,0,1,0.6000000000000001,1,FALSE
11808,-0,0.5,0,0.33333333333333337,1,3,FALSE
11836,0.5,0.5,0.8,0.33333333333333337,-0.19999999999999996,3,FALSE
11838,1,-0.5,0,1,1,1,FALSE
11839,1,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,2,FALSE
11898,1,1,0.19999999999999996,0.33333333333333337,0.8,6,FALSE
11931,1,1,-0.6,1,0.6000000000000001,5,FALSE
11950,1,-0.5,0,0.33333333333333337,0.3999999999999999,4,FALSE
11984,-1,1,1,0.33333333333333337,1,4,FALSE
12133,1,-0.5,-0.4,0.33333333333333337,0.6000000000000001,4,FALSE
12140,0.5,0.5,0,0.33333333333333337,0,2,FALSE
12168,1,0.5,-0.19999999999999996,0.33333333333333337,0.3999999999999999,6,FALSE
12179,0.5,0.5,0,0.33333333333333337,0.3999999999999999,6,FALSE
12217,1,0.5,0.3999999999999999,0.33333333333333337,0.19999999999999996,2,FALSE
12218,0.5,0.5,-0.4,-0.33333333333333326,0,6,FALSE
12248,0.5,-0.5,0,0.33333333333333337,0.3999999999999999,4,FALSE
12263,0.5,-0.5,0,0.33333333333333337,0.6000000000000001,4,FALSE
12266,0.5,0.5,0,0.33333333333333337,0,2,FALSE
12319,1,0.5,-0.6,0.33333333333333337,0.8,6,FALSE
12389,0.5,0.5,0,-0.33333333333333326,1,3,FALSE
12410,1,1,-1,1,1,5,FALSE
12447,1,0.5,-0.19999999999999996,0.33333333333333337,-0.4,2,FALSE
12454,1,-0,0.19999999999999996,-0.33333333333333326,0.3999999999999999,4,FALSE
12482,1,0.5,0,1,0.6000000000000001,1,FALSE
12502,1,0.5,-0.6,1,0,2,FALSE
12505,1,-0,-0.19999999999999996,0.33333333333333337,0.6000000000000001,4,FALSE
12514,-0,0.5,0.6000000000000001,1,-0.4,3,FALSE
12566,0.5,0.5,0.6000000000000001,0.33333333333333337,0,3,FALSE
12637,1,1,-0.4,1,1,5,FALSE
12638,0.5,0.5,0,0.33333333333333337,0.19999999999999996,2,FALSE
12650,-1,1,0,0.33333333333333337,0.6000000000000001,4,FALSE
12664,1,-0,-0.19999999999999996,0.33333333333333337,0.6000000000000001,4,FALSE
12688,0.5,0.5,-0.4,-1,0,6,FALSE
12792,1,0.5,-0.19999999999999996,-0.33333333333333326,0.6000000000000001,3,FALSE
12820,1,1,-0.19999999999999996,0.33333333333333337,1,6,FALSE
12831,0.5,-0.5,0.19999999999999996,-0.33333333333333326,0.6000000000000001,4,FALSE
12869,1,1,0,0.33333333333333337,0,2,FALSE
12914,0.5,0.5,0.3999999999999999,-0.33333333333333326,-0.4,4,FALSE
12981,0.5,-1,0,-0.33333333333333326,0,4,FALSE
